,Reference,Name,Pronunciation,Image_Reference,Length,Type,Diet,Period,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement
10,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,Albertosaurus,al-BERT-oh-saw-russ,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albert.jpg,9.0m,large theropod,carnivorous,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Tyrannosauroidea, Tyrannosauridae, Albertosaurinae",Lamb (1914),libratus,"saw-edged, flesh-slicing teeth",probably plant-eating dinosaurs,on 2 legs
11,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,Alectrosaurus,ah-LEK-tro-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alectro.jpg,5.0m,large theropod,carnivorous,"Late Cretaceous, 90-70 million years ago",Canada,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Tyrannosauroidea",Gilmore (1933),olseni,,,
12,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,Alioramus,al-ee-oh-ray-mus,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Alioramus.jpg,6.0m,large theropod,carnivorous,"Late Cretaceous, 71-65 million years ago",Canada,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Tyrannosauroidea",Kurzanov (1976),remotus,,,
13,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,Allosaurus,AL-oh-saw-russ,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/allo.jpg,12.0m,large theropod,carnivorous,"Late Jurassic, 156-144 million years ago","Portugal,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Allosauridae",Marsh (1877),fragilis,dagger-like with serrated edges,"Stegosaurus, Diplodocus and others",on 2 legs
14,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,Alvarezsaurus,al-var-rez-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alvarez.jpg,2.0m,small theropod,carnivorous,"Late Cretaceous, 89-85 million years ago","Portugal,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Alvarezsauridae",Bonaparte (1991),calvoi,,,
15,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html,Amargasaurus,A-MARG-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amargasaurus.jpg,12.0m,sauropod,herbivorous,"Late Cretaceous, 89-85 million years ago","Portugal,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Dicraeosauridae",Salgado and Bonaparte (1991),cazaui,teeth for grinding and chewing,tough plants,
16,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html,Ammosaurus,ah-moh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ammo.jpg,5.0m,sauropod,herbivorous,"Early Jurassic, 195-180 million years ago","Portugal,USA","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Anchisauridae",Marsh (1891),major,,,
17,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html,Ampelosaurus,am-pel-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Ampelosaurus.jpg,15.0m,sauropod,herbivorous,"Late Cretaceous, 71-65 million years ago","Portugal,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Le Loeuff (1995),atacis,,,
18,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html,Amygdalodon,am-ig-dal-oh-don,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amygdalodon.jpg,15.0m,sauropod,herbivorous,"Mid Jurassic, 177-169 million years ago","Portugal,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda",Cabrera (1947),patagonicus,,,
19,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html,Anchiceratops,an-key-SERRA-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi2.jpg,6.0m,ceratopsian,herbivorous,"Late Cretaceous, 74-70 million years ago","Portugal,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Brown (1914),ornatus,,,
