,Reference,Name,Pronunciation,Image_Reference,Length,Type,Diet,Period,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement,period_group,period_specific
103,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html,Euoplocephalus,you-OH-plo-kef-ah-luss,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/euoplo.jpg,7.0m,armoured dinosaur,herbivorous,"Late Cretaceous, 76-70 million years ago","Canada,USA","Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria, Ankylosauridae",tutus,,horny beak and chewing teeth,plant material,on 4 legs,Late Cretaceous, 76-70 million years ago
104,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html,Europasaurus,yoo-roh-pah-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Europasaurus.jpg,6.2m,sauropod,herbivorous,"Late Jurassic, 154-151 million years ago","Canada,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria","Sander, Mateus, Laven and KnÃ¶tschke (2006)",holgeri,,,,Late Jurassic, 154-151 million years ago
105,https://www.nhm.ac.uk/discover/dino-directory/eustreptospondylus.html,Eustreptospondylus,ewe-strep-toe-SPON-die-luss,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eustreptospondylus.jpg,7.0m,large theropod,carnivorous,"Mid Jurassic, 165 million years ago","Canada,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Spinosauroidea, Megalosauridae, Eustreptospondylinae",Walker (1964),oxoniensis,,,,Mid Jurassic, 165 million years ago
106,https://www.nhm.ac.uk/discover/dino-directory/fukuiraptor.html,Fukuiraptor,foo-koo-ee-rap-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Fukuiraptor.jpg,4.2m,large theropod,carnivorous,"Early Cretaceous, 121-99 million years ago","Canada,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria",Azuma and Currie (2000),kitadaniensis,,,,Early Cretaceous, 121-99 million years ago
107,https://www.nhm.ac.uk/discover/dino-directory/fukuisaurus.html,Fukuisaurus,foo-koo-I-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Fukuisaurus.jpg,4.7m,euornithopod,herbivorous,"Early Cretaceous, 121-99 million years ago","Canada,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Kobayashi and Azuma (2003),tetoriensius,,,,Early Cretaceous, 121-99 million years ago
108,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html,Gallimimus,gal-lee-MEEM-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gallim.jpg,6.0m,large theropod,omnivorous,"Late Cretaceous, 74-70 million years ago","Canada,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Ornithomimosauria, Ornithomimidae","OsmÃ³lska, Roniewicz and Barsbold (1972)",bullatus,,,,Late Cretaceous, 74-70 million years ago
109,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html,Gargoyleosaurus,gahr-goy-lee-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gargoyleosaurus.jpg,4.0m,armoured dinosaur,herbivorous,"Late Jurassic, 154-142 million years ago","Canada,USA","Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria","Carpenter, Miles and Cloward (1998)",parkpinorum,,,,Late Jurassic, 154-142 million years ago
110,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html,Garudimimus,ga-roo-dee-meem-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Garudimimus.jpg,4.7m,large theropod,omnivorous,"Late Cretaceous, 99-89 million years ago","Canada,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Ornithomimosauria",Barsbold (1981),brevipes,,,,Late Cretaceous, 99-89 million years ago
111,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html,Gasosaurus,gas-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gaso.jpg,4.0m,small theropod,carnivorous,"Mid Jurassic, 170-160 million years ago","Canada,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda",Dong and Tang (1985),constructus,,,,Mid Jurassic, 170-160 million years ago
112,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html,Gasparinisaura,gas-pah-reen-ee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gasparinisaura.jpg,0.8m,euornithopod,herbivorous,"Late Cretaceous, 86-71 million years ago","Canada,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda",Coria and Salgado (1996),cincosaltensis,,,,Late Cretaceous, 86-71 million years ago
