Reference,Name,Pronunciation,Image_Reference,Type,Diet,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement,length_in_meter,period_group,period_specific,earliest_period,latest_period,estimated_living_duration,taxonomy_level_0,taxonomy_level_1,taxonomy_level_2,taxonomy_level_3,taxonomy_level_4,taxonomy_level_5,taxonomy_level_6,taxonomy_level_7,taxonomy_level_8,taxonomy_level_9,taxonomy_level_10,taxonomy_level_11,taxonomy_level_12,taxonomy_level_13,taxonomy_level_14,taxonomy_level_15,taxonomy_level_16,named_by_year
https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html,Spinosaurus,SPINE-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/spino.jpg,large theropod,carnivorous,"Egypt,Morocco",Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Spinosauroidea > Spinosauridae > Spinosaurinae,Stromer (1915),aegyptiacus,flat and blade-like,fish and maybe other dinosaurs,on 2 legs,18.0,Late Cretaceous, 95-70 million years ago,95,70,25,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Spinosauroidea , Spinosauridae , Spinosaurinae,,,,,,,,,,1915
https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html,Staurikosaurus,stor-ik-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Staurikosaurus.jpg,large theropod,carnivorous,"Egypt,Morocco",Dinosauria > Saurischia > Theropoda > Herrerasauridae,Colbert (1970),pricei,,,,2.0,Late Triassic, 227-221 million years ago,227,221,6,Dinosauria , Saurischia , Theropoda , Herrerasauridae,,,,,,,,,,,,,,1970
https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html,Stegoceras,ste-GOS-er-as,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/stegoceras.jpg,euornithopod,herbivorous,"Egypt,Morocco",Dinosauria > Ornithischia > Genasauria > Cerapoda > Marginocephalia > Pachycephalosauria > Goyocephala > Homalocephaloidea > Pachycephalosauridae,Lambe (1902),validum,,,,2.4,Late Cretaceous, 76-74 million years ago,76,74,2,Dinosauria , Ornithischia , Genasauria , Cerapoda , Marginocephalia , Pachycephalosauria , Goyocephala , Homalocephaloidea , Pachycephalosauridae,,,,,,,,,1902
https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html,Stegosaurus,STEG-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/stego.jpg,armoured dinosaur,herbivorous,"Egypt,Morocco",Dinosauria > Ornithischia > Genasauria > Thyreophora > Stegosauria > Stegosauridae > Stegosaurinae,Marsh (1877),armatus,,,,9.0,Late Jurassic, 155-145 million years ago,155,145,10,Dinosauria , Ornithischia , Genasauria , Thyreophora , Stegosauria , Stegosauridae , Stegosaurinae,,,,,,,,,,,1877
https://www.nhm.ac.uk/discover/dino-directory/stenopelix.html,Stenopelix,ste-nop-e-liks,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Stenopelix.jpg,ceratopsian,herbivorous,"Egypt,Morocco",Dinosauria > Ornithischia > Genasauria > Cerapoda > Marginocephalia > Pachycephalosauria,Meyer (1857),valdensis,,,,1.5,Early Cretaceous, 127-121 million years ago,127,121,6,Dinosauria , Ornithischia , Genasauria , Cerapoda , Marginocephalia , Pachycephalosauria,,,,,,,,,,,,1857
https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html,Struthiomimus,STRUTH-ee-oh-MEEM-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/struthio.jpg,small theropod,omnivorous,Canada,Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Maniraptoriformes > Ornithomimosauria > Ornithomimidae,Osborn (1917),altus,"horny beak, no teeth","unknown, could have eaten both plants and small animals",on 2 legs,4.0,Late Cretaceous, 76-74 million years ago,76,74,2,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Maniraptoriformes , Ornithomimosauria , Ornithomimidae,,,,,,,1917
https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html,Struthiosaurus,strew-thee-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Struthiosaurus.jpg,armoured dinosaur,herbivorous,Canada,Dinosauria > Ornithischia > Genasauria > Thyreophora > Ankylosauromorpha > Ankylosauria > Nodosauridae,Bunzel (1871),austriacus,,,,2.5,Late Cretaceous, 83-75 million years ago,83,75,8,Dinosauria , Ornithischia , Genasauria , Thyreophora , Ankylosauromorpha , Ankylosauria , Nodosauridae,,,,,,,,,,,1871
https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html,Styracosaurus,sty-RAK-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/styrac.jpg,ceratopsian,herbivorous,Canada,Dinosauria > Ornithischia > Genasauria > Cerapoda > Marginocephalia > Ceratopsia > Neoceratopsia > Coronosauria > Ceratopsidae > Centrosaurinae,Lambe (1913),albertensis,,,,5.5,Late Cretaceous, 76-70 million years ago,76,70,6,Dinosauria , Ornithischia , Genasauria , Cerapoda , Marginocephalia , Ceratopsia , Neoceratopsia , Coronosauria , Ceratopsidae , Centrosaurinae,,,,,,,,1913
https://www.nhm.ac.uk/discover/dino-directory/suchomimus.html,Suchomimus,sook-oh-mim-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Suchomimus.jpg,large theropod,carnivorous,Canada,Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Spinosauroidea > Spinosauridae > Baryonychinae,"Sereno, Beck, Dutheil, Gado, Larsson, Lyon, Marcot, Rauhut, Sadleir, Sidor, Varricchio, Wilson and Wilson (1998)",tenerensis,,,,11.0,Early Cretaceous, 121-112 million years ago,121,112,9,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Spinosauroidea , Spinosauridae , Baryonychinae,,,,,,,,,,1998
https://www.nhm.ac.uk/discover/dino-directory/supersaurus.html,Supersaurus,sue-per-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Supersaurus.jpg,sauropod,herbivorous,Canada,Dinosauria > Saurischia > Sauropodomorpha > Sauropoda > Eusauropoda > Neosauropoda > Diplodocoidea > Diplodocidae,Jansen (1985),vivianae,,,,35.0,Early Cretaceous, 154-142 million years ago,154,142,12,Dinosauria , Saurischia , Sauropodomorpha , Sauropoda , Eusauropoda , Neosauropoda , Diplodocoidea , Diplodocidae,,,,,,,,,,1985
